Wall time,Step,Value
1686661159.1489587,5190000,-8.430000305175781
1686661235.8382714,5220000,-8.710000038146973
1686661313.055853,5250000,-9.680000305175781
1686661390.4156418,5280000,-11.9399995803833
1686661467.3451018,5310000,-13.649999618530273
1686661544.9708703,5340000,-13.9399995803833
1686661622.5344248,5370000,-18.81999969482422
1686661699.7440188,5400000,-13.699999809265137
1686661776.4806952,5430000,-15.319999694824219
1686661853.979646,5460000,-17.3700008392334
1686661931.4025593,5490000,-12.729999542236328
1686662008.7494466,5520000,-10.010000228881836
1686662086.1891549,5550000,-10.289999961853027
1686662163.4704847,5580000,-14.829999923706055
1686662240.474153,5610000,-18.329999923706055
1686662317.7558231,5640000,-14.180000305175781
1686662395.0205204,5670000,-10.489999771118164
1686662472.0798664,5700000,-7.710000038146973
1686662548.9580226,5730000,-10.050000190734863
1686662626.2275863,5760000,-9.029999732971191
1686662703.4299858,5790000,-6.769999980926514
1686662780.2847693,5820000,-9.020000457763672
1686662857.3312414,5850000,-10.210000038146973
1686662934.5283213,5880000,-7.099999904632568
1686663011.4539104,5910000,-10.949999809265137
1686663088.24898,5940000,-7.659999847412109
1686663165.9180458,5970000,-8.100000381469727
1686663243.3849142,6000000,-4.570000171661377
1686663320.2688088,6030000,-5.650000095367432
1686663397.419646,6060000,-12.5
1686663474.8380258,6090000,-12.920000076293945
1686663551.7622516,6120000,-11.369999885559082
1686663628.4435346,6150000,-9.819999694824219
1686663705.6223845,6180000,-11.5600004196167
1686663782.9407156,6210000,-14.079999923706055
1686663860.201675,6240000,-13.5600004196167
1686663937.6269784,6270000,-13.770000457763672
1686664015.0255084,6300000,-13.170000076293945
1686664092.243014,6330000,-14.329999923706055
1686664169.3984067,6360000,-11.359999656677246
1686664246.9144042,6390000,-15.420000076293945
1686664324.1665337,6420000,-10.199999809265137
1686664401.0038,6450000,-9.739999771118164
1686664478.09721,6480000,-8.619999885559082
1686664555.6842515,6510000,-7.010000228881836
1686664632.924106,6540000,-7.570000171661377
1686664710.0937743,6570000,-9.75
1686664787.9316242,6600000,-9.739999771118164
1686664865.4096665,6630000,-11.220000267028809
1686664942.262858,6660000,-6.110000133514404
1686665019.4575229,6690000,-8.979999542236328
1686665096.8032196,6720000,-6.980000019073486
1686665173.7362914,6750000,-8.0
1686665250.7178855,6780000,-10.779999732971191
1686665328.1644037,6810000,-9.970000267028809
1686665405.2043395,6840000,-10.069999694824219
1686665481.868138,6870000,-11.3100004196167
1686665559.0501337,6900000,-10.5
1686665636.0489175,6930000,-13.739999771118164
1686665712.850383,6960000,-16.790000915527344
1686665790.1285627,6990000,-14.390000343322754
1686665867.784606,7020000,-7.440000057220459
1686665945.2196047,7050000,-5.110000133514404
1686666022.590664,7080000,-4.170000076293945
1686666100.3202825,7110000,-5.510000228881836
1686666177.904863,7140000,-5.090000152587891
1686666255.2417989,7170000,-3.9800000190734863
1686666333.116099,7200000,-3.3399999141693115
1686666410.909966,7230000,-7.050000190734863
1686666488.504801,7260000,-10.100000381469727
1686666566.1911829,7290000,-11.210000038146973
1686666643.7236345,7320000,-12.75
1686666721.0646226,7350000,-11.84000015258789
1686666798.2430768,7380000,-12.989999771118164
1686666875.8875701,7410000,-11.829999923706055
1686666953.4798834,7440000,-9.1899995803833
1686667031.087043,7470000,-6.070000171661377
1686667108.9294057,7500000,-5.650000095367432
1686667186.9337878,7530000,-7.210000038146973
1686667264.6224203,7560000,-6.0
1686667342.292599,7590000,-13.640000343322754
1686667420.355755,7620000,-13.149999618530273
1686667497.7833655,7650000,-13.75
1686667574.9266186,7680000,-12.949999809265137
1686667652.8575087,7710000,-7.53000020980835
1686667730.609176,7740000,-8.539999961853027
1686667807.9642224,7770000,-6.769999980926514
1686667885.5732017,7800000,-6.829999923706055
1686667963.2600262,7830000,-7.03000020980835
1686668040.4058697,7860000,-7.179999828338623
1686668117.7117383,7890000,-6.679999828338623
1686668195.2781734,7920000,-5.099999904632568
1686668272.5559185,7950000,-5.440000057220459
1686668349.4072144,7980000,-6.820000171661377
1686668426.7793543,8010000,-8.960000038146973
1686668504.230516,8040000,-9.270000457763672
1686668581.4499793,8070000,-9.0
1686668658.6939952,8100000,-6.650000095367432
1686668736.1807263,8130000,-6.909999847412109
1686668813.4805274,8160000,-9.489999771118164
1686668890.61457,8190000,-9.720000267028809
1686668968.4644196,8220000,-6.449999809265137
1686669046.1792657,8250000,-7.849999904632568
1686669123.411782,8280000,-6.309999942779541
1686669201.1431944,8310000,-8.229999542236328
1686669278.889969,8340000,-6.099999904632568
1686669356.0717356,8370000,-11.829999923706055
1686669433.4106812,8400000,-7.920000076293945
1686669510.9762592,8430000,-10.699999809265137
1686669588.1554675,8460000,-4.96999979019165
1686669665.0665283,8490000,-9.40999984741211
1686669742.503896,8520000,-9.149999618530273
1686669820.0221763,8550000,-8.779999732971191
1686669896.932449,8580000,-11.270000457763672
1686669974.5641305,8610000,-7.929999828338623
1686670052.2173827,8640000,-8.420000076293945
1686670129.409742,8670000,-6.230000019073486
1686670206.384725,8700000,-5.090000152587891
1686670283.843097,8730000,-6.099999904632568
1686670361.1158948,8760000,-3.4600000381469727
1686670437.9453838,8790000,-5.340000152587891
1686670515.2875822,8820000,-8.8100004196167
1686670592.7473958,8850000,-10.869999885559082
1686670669.7833962,8880000,-13.180000305175781
1686670746.868276,8910000,-14.0600004196167
1686670824.4166596,8940000,-8.279999732971191
1686670901.6888862,8970000,-8.789999961853027
1686670978.6558082,9000000,-7.190000057220459
1686671055.9533336,9030000,-8.5
1686671133.4244583,9060000,-9.050000190734863
1686671210.3854744,9090000,-10.15999984741211
1686671287.613821,9120000,-9.890000343322754
1686671365.2003124,9150000,-9.399999618530273
1686671442.3914394,9180000,-7.329999923706055
1686671519.7173555,9210000,-6.5
1686671597.5233266,9240000,-4.550000190734863
1686671674.9914806,9270000,-12.029999732971191
1686671751.9452121,9300000,-17.31999969482422
1686671829.5429897,9330000,-17.200000762939453
1686671907.164182,9360000,-18.360000610351562
1686671984.2964282,9390000,-19.65999984741211
1686672061.67354,9420000,-8.5
1686672139.2092035,9450000,-7.409999847412109
